order,name,length,alignment,action_type,not_in_eval,json_priority
1,"Agency",3,right,all,false,admissions
2,"BHO/RAE",2,right,all,true,admissions
3,"Program",5,right,all,false,admissions
4,"Medicaid/State Identifier",7,right,all,true,admissions
5,"Client ID/Trails ID",10,right,all,true,admissions
6,"SSN",9,right,all,false,admissions
7,"Date of Birth",8,right,all,true,admissions
8,"Last Name",20,right,all,true,admissions
9,"First Name",20,right,all,true,admissions
10,"Middle Name",15,right,all,false,admissions
11,"Title",4,right,all,false,admissions
12,"Medicaid Fee For Service",1,right,all,true,admissions
13,"Medicaid - Capitated",1,right,all,true,admissions
14,"Medicare",1,right,all,true,admissions
15,"Self-Pay",1,right,all,true,admissions
16,"Insurance & Third Party",1,right,all,true,admissions
17,"State/Other Federal",1,right,all,true,admissions
18,"Local",1,right,all,true,admissions
19,"CHP+",1,right,all,true,admissions
20,"Referral Source",3,right,all,false,admissions
21,"Effective Date",8,right,03,true,discharge
22,"Action Type",2,right,all,true,discharge
23,"Type of Update",2,right,03,true,discharge
24,"CDPHE ID",6,right,all,false,admissions
25,"Housing Only",1,right,all,false,admissions
26,"Meds Only",1,right,all,false,admissions
27,"Admission Date",8,right,0106,true,admissions
28,"Placement End Date",8,right,all,false,admissions
29,"Special Studies Code 1",10,right,all,false,admissions
30,"Special Studies Code 2",10,right,all,false,admissions
31,"For Agency Use Only",10,right,all,false,admissions
32,"Residential Treatment Level of Care Identified",1,right,all,false,admissions
33,"Residential Treatment Level of Care Authorized",1,right,all,false,admissions
34,"Residential Treatment Provider",7,right,all,false,admissions
35,"Gender",1,right,all,true,admissions
36,"Hispanic Ethnicity",1,right,all,false,admissions
37,"American Indian/Alaskan Native",1,right,all,false,admissions
38,"Asian",1,right,all,false,admissions
39,"Black/African American",1,right,all,false,admissions
40,"Native Hawaiian/Pacific Islander",1,right,all,false,admissions
41,"White/Caucasian",1,right,all,false,admissions
42,"Race - Declined",1,right,all,false,admissions
43,"Discharge Date",8,right,0506,true,discharge
44,"Date of Last Contact",8,right,0506,true,discharge
45,"Type of Discharge",1,right,0506,true,discharge
46,"Discharge/Termination Referral",3,right,0506,true,discharge
47,"AXIS I Primary Psychiatric Diagnosis",5,right,all,false,admissions
